dive_id,image_id,image_path,label_x,label_y,label
16,1866,2025-02-10 REEF Data Dump SMILE 6/E4E Research Workspace Folders_Measured/Hogfish01_MolPeLe_1029_080323/P8030161.ORF,1944.4629576715338,1374.7488297317616,Red Laser
16,1867,2025-02-10 REEF Data Dump SMILE 6/E4E Research Workspace Folders_Measured/Hogfish01_MolPeLe_1029_080323/P8030162.ORF,1918.7821683613638,1290.050424459971,Red Laser
16,1868,2025-02-10 REEF Data Dump SMILE 6/E4E Research Workspace Folders_Measured/Hogfish01_MolPeLe_1029_080323/P8030163.ORF,1931.771859232484,1333.9883401320312,Red Laser
35,1872,2023.08.03.FishSense.FSL-01D/GraySnapper01_MolPeLe_1040_080323/P8030181.ORF,1941.0849176774607,1333.1666810547208,Red Laser
35,1873,2023.08.03.FishSense.FSL-01D/GraySnapper01_MolPeLe_1040_080323/P8030183.ORF,1943.3581430055976,1340.8023406727668,Red Laser
35,1874,2023.08.03.FishSense.FSL-01D/GraySnapper01_MolPeLe_1040_080323/P8030182.ORF,1941.5982575424462,1335.0493842309613,Red Laser
26,1878,2025-02-10 REEF Data Dump SMILE 6/080323_FSL-01 Photos/080323_1015_MolPeLe/P8030140.ORF,1909.3738313108074,1241.994235788447,Red Laser
26,1879,2025-02-10 REEF Data Dump SMILE 6/080323_FSL-01 Photos/080323_1015_MolPeLe/P8030141.ORF,1958.6457166908597,1391.9413354501678,Red Laser
26,1880,2025-02-10 REEF Data Dump SMILE 6/080323_FSL-01 Photos/080323_1015_MolPeLe/P8030142.ORF,1952.7686324533702,1357.786166769677,Red Laser
26,1881,2025-02-10 REEF Data Dump SMILE 6/080323_FSL-01 Photos/080323_1015_MolPeLe/P8030143.ORF,1949.4594699352394,1358.2204922389733,Red Laser
26,1882,2025-02-10 REEF Data Dump SMILE 6/080323_FSL-01 Photos/080323_1015_MolPeLe/P8030144.ORF,1941.8444001229354,1346.997098143202,Red Laser
26,1883,2025-02-10 REEF Data Dump SMILE 6/080323_FSL-01 Photos/080323_1015_MolPeLe/P8030145.ORF,1950.5499613482673,1365.2151481061126,Red Laser
26,1884,2025-02-10 REEF Data Dump SMILE 6/080323_FSL-01 Photos/080323_1015_MolPeLe/P8030146.ORF,1909.9353703650472,1239.38046180478,Red Laser
26,1885,2025-02-10 REEF Data Dump SMILE 6/080323_FSL-01 Photos/080323_1015_MolPeLe/P8030147.ORF,1932.8702332246132,1301.0023755610032,Red Laser
